Rank,Designer,Year,Country,Unique_brand
1,Coco Chanel,83,France,Chanel
2,Christian Dior,52,France,Dior
3,Karl Lagerfeld,86,Germany,Karl Lagerfeld
4,Alexander McQueen,41,United Kingdom,Alexander McQueen
5,Donatella Versace,67,Italy,Versace
6,Ralph Lauren,83,United States,Ralph Lauren
7,Yves Saint Laurent,72,France,Saint Laurent
8,Jean Paul Gaultier,70,France,Gaultier
9,Hubert de Givenchy,91,France,Givenchy
10,MiucciaPrada,73,Italy,Prada
11,Oscar De La Renta,82,Dominican Republic,Oscar De La Renta
12,Elsa Schiaparelli,83,Italy,Schiaparelli
13,Pierre Cardin,98,France,Pierre Cardin
14,Dame Vivienne Westwood,81,United Kingdom,Vivienne Westwood
15,Stella MCCartney,51,United Kingdom,sustainable fashion
16,Virgil Abloh,41,United States,Off-White
17,Marc Jacobs,59,United States,Marc Jacobs
18,Ralph Simons,54,Belgium,Raf Simons
19,Tom Ford,61,United states,Tom Ford
20,Olivier Rousteing,35,France,Balmain
